Census Tract,County,Total:,Total:!!White alone,Total:!!Black or African American alone,Total:!!American Indian and Alaska Native alone,Total:!!Asian alone,Total:!!Native Hawaiian and Other Pacific Islander alone,Total:!!Some other race alone,Total:!!Two or more races:,Total:!!Two or more races:!!Two races including Some other race,"Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
2427,Los Angeles,"5,756","1,715","1,364",2,17,0,"2,425",233,77,156
2430.01,Los Angeles,"3,704",982,195,246,0,0,"1,670",611,540,71
2430.02,Los Angeles,"2,668","1,326",190,252,48,0,826,26,0,26
2431,Los Angeles,"6,090","1,544","2,061",0,8,0,"2,192",285,264,21
2611.02,Los Angeles,"3,630","3,212",119,0,111,0,8,180,103,77
2611.03,Los Angeles,"1,815","1,550",89,0,62,0,25,89,28,61
2611.04,Los Angeles,"1,606","1,270",122,12,93,0,0,109,95,14
2612,Los Angeles,"4,185","3,374",32,0,279,0,44,456,304,152
2621,Los Angeles,"2,566","2,175",17,0,236,0,43,95,0,95
2622,Los Angeles,"4,471","3,436",107,0,437,0,16,475,3,472
2623.01,Los Angeles,"2,596","1,901",75,0,413,0,101,106,16,90
2623.02,Los Angeles,"2,959","2,699",13,0,144,0,14,89,0,89
2623.03,Los Angeles,"2,759","2,419",0,20,226,0,0,94,0,94
2624,Los Angeles,"3,059","2,671",77,10,100,0,0,201,102,99
2625.01,Los Angeles,"3,794","3,321",0,9,285,0,0,179,0,179
2626.01,Los Angeles,"3,478","2,656",39,0,400,0,61,322,57,265
2626.04,Los Angeles,"5,532","5,116",0,0,298,4,0,114,47,67
2627.04,Los Angeles,"3,489","2,899",18,0,257,0,27,288,0,288
2627.06,Los Angeles,"3,692","3,381",8,0,223,0,2,78,1,77
2628.02,Los Angeles,"3,231","2,755",11,0,228,0,15,222,23,199
2640,Los Angeles,"3,150","2,948",0,0,51,0,22,129,26,103
2641.02,Los Angeles,"3,048","2,433",15,0,408,0,35,157,20,137
2641.03,Los Angeles,"2,751","2,182",42,0,196,0,21,310,104,206
2643.03,Los Angeles,"2,836","2,180",30,0,276,0,85,265,12,253
2643.04,Los Angeles,"2,606","2,075",100,0,300,0,96,35,0,35
2643.05,Los Angeles,"4,688","3,577",23,0,201,0,49,838,683,155
2643.06,Los Angeles,"2,000","1,503",45,0,307,0,13,132,0,132
2651,Los Angeles,"2,531","2,171",122,7,77,0,145,9,0,9
2652.01,Los Angeles,"2,845","2,009",54,0,635,0,68,79,19,60
2652.03,Los Angeles,"2,146","1,419",20,0,309,0,302,96,0,96
2652.04,Los Angeles,"1,358",728,0,0,503,0,105,22,0,22
2653.01,Los Angeles,"12,957","5,586",645,73,"5,062",23,407,"1,161",151,"1,010"
2653.03,Los Angeles,"5,089","2,039",248,0,"1,942",35,422,403,103,300
2653.04,Los Angeles,"2,625","1,323",59,0,889,21,95,238,4,234
2653.06,Los Angeles,"1,929","1,106",12,0,608,0,22,181,4,177
2653.07,Los Angeles,"1,927",591,260,0,821,6,13,236,82,154
2654.1,Los Angeles,"1,775","1,566",0,0,147,0,23,39,0,39
2654.2,Los Angeles,"1,591","1,272",32,0,154,10,21,102,44,58
2655.21,Los Angeles,"1,849",997,0,42,696,0,0,114,0,114
2655.22,Los Angeles,"2,431","1,304",73,0,857,0,12,185,109,76
2655.23,Los Angeles,"2,704","1,677",102,0,150,0,0,775,267,508
2655.24,Los Angeles,"2,710","1,354",230,56,543,0,56,471,114,357
2656.01,Los Angeles,"3,480","2,736",0,0,491,0,55,198,72,126
2656.02,Los Angeles,"3,101","2,315",25,0,365,0,82,314,58,256
2657.01,Los Angeles,"1,507","1,035",68,0,185,0,6,213,0,213
2657.02,Los Angeles,"2,985","2,782",31,0,99,0,22,51,28,23
2671.01,Los Angeles,"3,646","2,480",117,0,661,0,15,373,96,277
2671.02,Los Angeles,"3,081","2,283",127,0,482,0,11,178,10,168
2672.01,Los Angeles,"3,043","1,760",50,0,950,0,61,222,0,222
2672.02,Los Angeles,"3,756","2,181",208,0,"1,048",26,99,194,10,184
2673,Los Angeles,"4,340","2,677",33,4,"1,079",19,192,336,49,287
2674.03,Los Angeles,"3,929","2,714",207,0,577,0,231,200,80,120
2674.04,Los Angeles,"3,227","1,957",195,0,694,0,55,326,18,308
2674.05,Los Angeles,"2,803","2,070",11,0,433,0,264,25,0,25
2674.06,Los Angeles,"1,918","1,416",95,0,330,0,10,67,0,67
2675.02,Los Angeles,"3,357","2,162",45,18,654,0,213,265,100,165
2675.03,Los Angeles,"2,296","1,585",55,0,509,0,34,113,0,113
2675.04,Los Angeles,"4,094","2,267",65,0,723,0,761,278,0,278
2676,Los Angeles,"2,591","1,117",163,0,986,0,81,244,52,192
2677,Los Angeles,"3,475","1,557",24,29,"1,375",0,239,251,61,190
2678,Los Angeles,"2,894","2,001",17,7,592,39,145,93,16,77
2679.01,Los Angeles,"2,560","1,822",53,0,500,0,84,101,54,47
2679.02,Los Angeles,"3,565","2,751",137,1,488,7,6,175,20,155
2690,Los Angeles,"4,744","3,255",27,0,"1,108",0,202,152,0,152
2691,Los Angeles,"4,612","4,055",66,0,160,0,80,251,44,207
2693,Los Angeles,"3,948","3,156",59,0,289,0,46,398,74,324
2695,Los Angeles,"3,741","3,325",30,0,215,0,123,48,0,48
2696.01,Los Angeles,"3,440","1,251",866,21,240,0,833,229,190,39
2696.02,Los Angeles,"2,784","1,041",360,23,82,0,995,283,119,164
2697,Los Angeles,"3,715","2,264",274,0,368,0,319,490,271,219
2698,Los Angeles,"3,218","1,783",186,0,813,0,141,295,164,131
2699.03,Los Angeles,"3,365","1,356",362,13,763,0,458,413,164,249
2699.05,Los Angeles,"2,305","1,160",309,0,455,0,252,129,58,71
2699.06,Los Angeles,"3,192","1,651",245,13,887,0,245,151,24,127
2699.07,Los Angeles,"2,653","1,296",482,0,630,0,86,159,11,148
2699.08,Los Angeles,"1,885",985,177,0,609,0,79,35,0,35
2699.09,Los Angeles,"2,282","1,294",256,0,172,0,396,164,3,161
2701.01,Los Angeles,"2,102",916,437,10,435,0,197,107,34,73
2701.02,Los Angeles,"3,017","1,008",164,75,972,0,648,150,55,95
2702,Los Angeles,"3,590","1,992",476,55,311,0,538,218,100,118
2703,Los Angeles,"2,521",865,"1,052",1,240,0,257,106,30,76
2711,Los Angeles,"2,493","1,431",44,0,588,5,217,208,15,193
2712,Los Angeles,"2,627","1,429",64,0,574,0,215,345,248,97
2713,Los Angeles,"4,613","3,139",24,48,"1,036",0,202,164,79,85
2714,Los Angeles,"3,750","2,767",40,0,403,0,207,333,138,195
2715,Los Angeles,"3,165","2,386",79,8,550,36,17,89,26,63
2716,Los Angeles,"4,975","2,602",212,34,"1,558",0,103,466,35,431
2717.02,Los Angeles,"4,204","1,603",270,94,"1,469",0,551,217,107,110
2717.03,Los Angeles,"2,677","1,395",218,0,825,17,128,94,0,94
2717.04,Los Angeles,"3,569","1,438",576,0,"1,352",0,62,141,24,117
2718.01,Los Angeles,"3,099","1,438",185,0,793,9,357,317,156,161
2718.03,Los Angeles,"3,009","1,665",253,0,297,0,384,410,26,384
2718.04,Los Angeles,"2,494","1,770",32,5,403,0,284,0,0,0
2719.01,Los Angeles,"3,257","1,770",592,82,526,0,179,108,48,60
2719.02,Los Angeles,"3,865","1,998",285,160,514,0,509,399,209,190
2721,Los Angeles,"4,780","3,438",49,227,298,20,225,523,244,279
2722.01,Los Angeles,"2,209","1,413",48,22,224,0,383,119,22,97
2722.02,Los Angeles,"3,423","2,174",138,15,327,25,363,381,36,345
2723.01,Los Angeles,"3,395","2,396",118,6,413,4,222,236,142,94
2723.02,Los Angeles,"3,989","2,249",153,19,389,0,"1,029",150,44,106
2731,Los Angeles,"2,761","2,157",93,4,202,0,97,208,111,97
2732,Los Angeles,"3,163","2,472",241,34,61,0,240,115,13,102
2733,Los Angeles,"2,963","2,007",482,0,54,0,352,68,0,68
2734.03,Los Angeles,"1,429","1,314",66,0,17,0,14,18,0,18
2734.04,Los Angeles,"1,437","1,310",17,0,74,0,0,36,0,36
2735.02,Los Angeles,"2,792","2,273",159,25,102,0,77,156,9,147
2736,Los Angeles,"2,413","2,046",54,0,67,0,41,205,164,41
2737,Los Angeles,"2,992","2,389",156,0,73,0,225,149,0,149
2738,Los Angeles,"2,922","2,159",102,11,222,7,87,334,160,174
2739.02,Los Angeles,"4,416","3,491",118,14,279,0,254,260,22,238
2741,Los Angeles,"4,757","2,975",841,0,486,0,54,401,0,401
2742.02,Los Angeles,"4,151","3,164",121,0,252,0,242,372,196,176
2751.01,Los Angeles,"1,060",579,45,0,230,0,134,72,13,59
2751.02,Los Angeles,"4,282","2,504",100,6,278,0,622,772,670,102
2752,Los Angeles,"3,814","1,732",262,18,624,0,972,206,47,159
2753.11,Los Angeles,"5,275","2,839",221,20,"1,303",0,582,310,114,196
2753.12,Los Angeles,"2,061","1,667",94,0,159,0,46,95,0,95
2753.13,Los Angeles,"3,196","2,283",39,0,474,0,123,277,66,211
2754,Los Angeles,"4,185","2,796",254,53,602,0,75,405,0,405
2755,Los Angeles,"5,337","2,622",406,90,455,0,"1,159",605,380,225
2756.03,Los Angeles,"2,864","1,722",66,0,505,0,251,320,177,143
2756.04,Los Angeles,"9,559","6,336",411,0,"1,658",0,217,937,139,798
2756.05,Los Angeles,"2,685","1,789",289,0,458,0,76,73,34,39
2760,Los Angeles,"5,960","4,161",435,0,726,0,161,477,145,332
2761.01,Los Angeles,"3,034","1,242","1,000",0,565,0,50,177,0,177
2761.02,Los Angeles,"3,010","1,111",856,0,317,0,159,567,71,496
2764,Los Angeles,"4,104","3,206",201,0,343,0,17,337,120,217
2765,Los Angeles,"5,710","3,656",395,23,908,11,239,478,97,381
2766.01,Los Angeles,"4,030","2,843",201,0,444,0,136,406,134,272
2766.05,Los Angeles,"2,640","2,241",81,24,119,0,76,99,0,99
2766.06,Los Angeles,"3,084","2,208",492,0,269,0,57,58,0,58
2766.07,Los Angeles,"2,587","1,578",310,0,394,0,173,132,78,54
2766.08,Los Angeles,"2,147","1,193",72,46,492,0,123,221,128,93
2770,Los Angeles,"5,581","3,668",189,100,806,0,113,705,544,161
2771,Los Angeles,"3,176","1,969",31,29,687,12,113,335,10,325
2772,Los Angeles,"1,943",969,366,0,158,0,317,133,11,122
2774,Los Angeles,576,128,228,0,56,0,84,80,0,80
2780.01,Los Angeles,"2,338","1,765",97,0,169,0,73,234,88,146
2781.02,Los Angeles,"3,008","2,443",99,0,208,0,101,157,42,115
2911.1,Los Angeles,"4,370",922,"1,951",41,19,0,895,542,530,12
2911.2,Los Angeles,"2,548",597,751,0,42,0,"1,062",96,96,0
2911.3,Los Angeles,"3,458",921,600,34,317,0,"1,350",236,141,95
2912.1,Los Angeles,"5,429","1,674",921,14,978,8,"1,763",71,17,54
2912.2,Los Angeles,"3,451",983,346,49,848,0,"1,094",131,76,55
2913,Los Angeles,"3,237",770,281,11,"1,413",37,244,481,124,357
2920.01,Los Angeles,"4,451",714,547,0,981,0,"1,963",246,33,213
2920.02,Los Angeles,"1,944",656,64,0,441,9,346,428,326,102
2932.03,Los Angeles,"3,013",897,412,0,344,0,"1,080",280,239,41
2932.04,Los Angeles,"4,260","1,095",5,8,"1,032",0,"1,037","1,083","1,077",6
2932.05,Los Angeles,"3,402",723,358,0,494,0,"1,627",200,121,79
2932.06,Los Angeles,"2,862",494,38,0,577,0,"1,635",118,92,26
2933.01,Los Angeles,"2,834",992,49,0,"1,502",6,89,196,1,195
2933.02,Los Angeles,"5,084","1,926",622,17,"1,410",219,346,544,374,170
2933.04,Los Angeles,"5,149","2,297",330,19,695,0,"1,569",239,16,223
2933.06,Los Angeles,"2,485","1,265",129,0,524,0,378,189,64,125
2933.07,Los Angeles,"2,491","1,144",223,0,419,0,558,147,27,120
2941.1,Los Angeles,"3,701","1,941",0,0,56,20,"1,299",385,272,113
2941.2,Los Angeles,"2,969","1,991",60,0,67,0,670,181,122,59
2942,Los Angeles,"4,831","3,181",115,29,233,13,"1,153",107,51,56
2943.01,Los Angeles,"2,709","1,153",38,20,254,0,"1,037",207,181,26
2943.02,Los Angeles,"4,317","2,259",173,45,110,0,"1,591",139,56,83
2944.1,Los Angeles,"4,996","1,663",975,0,865,112,752,629,507,122
2944.21,Los Angeles,"2,866","1,550",193,0,407,0,617,99,45,54
2945.1,Los Angeles,"4,843","3,017",11,0,116,0,"1,489",210,168,42
2945.2,Los Angeles,"3,846","2,429",67,18,33,0,"1,132",167,134,33
2946.1,Los Angeles,"4,263","2,204",25,27,248,5,"1,524",230,211,19
2946.2,Los Angeles,"4,546","3,126",22,61,37,67,856,377,157,220
2947.01,Los Angeles,"3,080","2,140",165,0,36,0,651,88,34,54
2948.1,Los Angeles,"3,923","2,007",59,7,88,62,"1,494",206,75,131
2948.2,Los Angeles,"3,482","2,227",22,16,99,0,"1,072",46,37,9
2948.3,Los Angeles,"4,399","2,621",153,33,30,0,"1,216",346,101,245
2949,Los Angeles,"3,831","2,216",227,0,116,48,"1,032",192,164,28
2951.03,Los Angeles,"5,319","3,685",196,10,638,33,148,609,308,301
2962.1,Los Angeles,"3,652","1,811",129,12,38,0,"1,283",379,67,312
2962.2,Los Angeles,"3,968","1,243",815,18,346,21,"1,369",156,44,112
2963,Los Angeles,"4,784","2,604",223,0,"1,424",3,286,244,102,142
2964.01,Los Angeles,"3,228","2,260",311,4,364,0,221,68,33,35
2964.02,Los Angeles,"3,142","1,701",30,0,455,0,728,228,82,146
2965,Los Angeles,"3,284","1,643",193,22,249,0,703,474,186,288
2966,Los Angeles,"5,214","3,008",376,154,113,0,"1,314",249,164,85
2969.01,Los Angeles,"4,440","2,332",391,29,203,32,"1,284",169,47,122
2969.02,Los Angeles,"4,174","2,024",174,17,88,7,"1,383",481,300,181
2970.01,Los Angeles,"1,404","1,020",145,0,25,0,0,214,0,214
2970.02,Los Angeles,"4,287","2,845",51,105,439,0,646,201,23,178
2971.1,Los Angeles,"4,693","2,992",362,4,264,36,790,245,96,149
2971.2,Los Angeles,"3,062","1,503",220,12,242,0,789,296,270,26
2972.01,Los Angeles,"4,421","2,537",216,38,216,0,851,563,230,333
2972.02,Los Angeles,"4,049","3,069",50,3,130,0,541,256,184,72
2973,Los Angeles,"2,113","1,507",133,0,128,20,139,186,32,154
2974,Los Angeles,"3,183","2,597",53,0,164,11,68,290,157,133
2975.01,Los Angeles,"2,845","2,117",50,0,47,0,45,586,475,111
2975.02,Los Angeles,"2,006","1,488",67,18,133,0,54,246,11,235
2976.01,Los Angeles,"3,017","1,807",127,59,79,0,222,723,296,427
2976.02,Los Angeles,"3,515","2,297",119,10,295,21,344,429,187,242
3001,Los Angeles,"6,279","4,191",15,0,"1,635",0,107,331,200,131
3002,Los Angeles,"5,378","2,908",53,27,"1,916",0,164,310,104,206
3003.01,Los Angeles,"6,194","4,428",21,0,"1,312",0,97,336,0,336
3004,Los Angeles,"6,200","3,452",0,0,"1,519",0,213,"1,016",717,299
3005.01,Los Angeles,"3,039","1,682",0,0,745,0,225,387,58,329
3005.03,Los Angeles,"5,475","2,798",2,37,"1,246",53,409,930,133,797
3006.01,Los Angeles,"6,334","3,432",102,0,"2,083",0,659,58,17,41
3006.02,Los Angeles,"3,455","2,817",18,0,234,24,194,168,85,83
3007.01,Los Angeles,"5,280","4,152",51,0,530,0,78,469,133,336
3007.02,Los Angeles,"6,170","5,337",0,0,600,0,78,155,0,155
3008,Los Angeles,"7,165","4,818",44,54,743,0,124,"1,382",132,"1,250"
3009.01,Los Angeles,"5,757","3,829",189,0,"1,569",0,17,153,19,134
3009.02,Los Angeles,"2,257","1,700",0,0,352,0,93,112,30,82
3010,Los Angeles,"5,408","3,904",94,3,617,0,200,590,69,521
3011,Los Angeles,"7,313","6,122",104,0,726,0,44,317,57,260
3012.03,Los Angeles,"4,576","3,407",116,0,641,0,102,310,78,232
3012.04,Los Angeles,"4,750","3,496",322,0,715,0,171,46,0,46
3012.05,Los Angeles,"2,114","1,702",35,6,289,0,37,45,0,45
3012.06,Los Angeles,"5,330","4,201",214,0,679,0,118,118,83,35
3013,Los Angeles,"1,954","1,766",0,0,130,0,29,29,18,11
3014,Los Angeles,"3,988","3,377",12,131,88,0,103,277,156,121
3015.01,Los Angeles,"1,846","1,634",5,0,151,16,26,14,0,14
3015.02,Los Angeles,"6,798","5,797",34,0,492,0,106,369,161,208
3016.01,Los Angeles,"5,657","4,481",176,0,229,0,538,233,131,102
3016.02,Los Angeles,"4,472","3,119",101,0,421,0,371,460,57,403
3017.01,Los Angeles,"2,837","1,911",87,0,418,0,251,170,51,119
3017.02,Los Angeles,"6,075","4,373",50,76,772,0,608,196,119,77
3018.01,Los Angeles,"5,176","3,147",93,0,"1,129",53,412,342,20,322
3018.02,Los Angeles,"4,948","3,594",180,0,799,0,145,230,47,183
3019.01,Los Angeles,"4,718","3,640",19,0,964,0,58,37,0,37
3019.02,Los Angeles,"3,308","2,630",72,0,425,0,137,44,3,41
3020.02,Los Angeles,"3,889","2,730",108,0,669,0,0,382,233,149
3020.03,Los Angeles,"3,730","2,843",34,0,471,14,57,311,6,305
3020.04,Los Angeles,"4,194","3,103",113,0,777,0,111,90,45,45
3021.02,Los Angeles,"6,413","4,677",154,0,"1,162",18,228,174,117,57
3021.03,Los Angeles,"5,242","4,266",44,19,540,0,200,173,75,98
3021.04,Los Angeles,"3,679","2,307",142,0,965,0,186,79,36,43
3022.01,Los Angeles,"3,838","3,073",86,0,344,37,160,138,101,37
3022.02,Los Angeles,"5,586","4,391",123,0,692,0,285,95,16,79
3023.01,Los Angeles,"3,836","2,562",116,13,767,0,250,128,68,60
3023.02,Los Angeles,"5,361","3,340",40,37,722,0,754,468,376,92
3024.01,Los Angeles,"7,464","5,440",192,0,860,0,858,114,76,38
3025.03,Los Angeles,"4,066","3,315",0,0,267,0,415,69,25,44
3025.04,Los Angeles,"3,970","3,250",16,0,396,0,158,150,114,36
3025.05,Los Angeles,"4,553","3,151",222,69,594,0,456,61,41,20
3025.06,Los Angeles,"3,456","2,776",57,17,227,46,151,182,62,120
3101,Los Angeles,"5,245","4,038",151,38,534,0,143,341,104,237
3102.01,Los Angeles,"5,908","4,220",57,0,430,0,876,325,11,314
3102.02,Los Angeles,"4,863","3,999",126,77,176,0,282,203,46,157
3103,Los Angeles,"2,947","2,131",0,0,398,0,72,346,137,209
3104,Los Angeles,"3,438","2,300",42,52,384,0,264,396,0,396
3105.01,Los Angeles,"4,037","2,349",267,37,508,10,486,380,290,90
3106.01,Los Angeles,"6,924","3,335",913,0,794,0,"1,615",267,190,77
3106.02,Los Angeles,"2,764","1,983",50,6,389,0,267,69,19,50
3107.01,Los Angeles,"2,121","1,706",20,17,143,0,147,88,1,87
3107.03,Los Angeles,"4,517","3,650",25,0,257,0,469,116,8,108
3107.04,Los Angeles,"4,050","2,817",119,58,446,0,377,233,30,203
3107.05,Los Angeles,"2,293","1,143",165,0,865,0,25,95,0,95
3108,Los Angeles,"5,124","3,776",120,0,630,16,326,256,43,213
3109,Los Angeles,"6,144","3,596",85,29,"1,200",0,356,878,454,424
3110,Los Angeles,"3,516","2,299",18,176,418,0,312,293,166,127
3111,Los Angeles,"4,191","2,695",24,0,810,0,316,346,91,255
3112,Los Angeles,"3,155","2,433",178,32,288,0,56,168,56,112
3113,Los Angeles,"3,857","2,513",79,10,639,0,134,482,358,124
3114,Los Angeles,"2,245","1,717",29,12,217,0,108,162,61,101
3115,Los Angeles,"6,013","3,728",239,38,653,13,191,"1,151",172,979
3116.01,Los Angeles,"2,608","1,507",122,0,96,0,11,872,754,118
3116.02,Los Angeles,"4,323","2,952",287,7,580,0,107,390,46,344
3117,Los Angeles,"5,966","4,468",158,87,486,0,147,620,507,113
3118.01,Los Angeles,"2,896","1,928",52,54,310,0,477,75,14,61
3118.02,Los Angeles,"4,266","2,489",115,34,590,0,832,206,18,188
3201.01,Los Angeles,"3,578","2,647",105,28,28,0,472,298,298,0
3201.02,Los Angeles,"3,893","1,991",110,0,239,0,"1,529",24,0,24
3202.01,Los Angeles,"4,111","2,807",16,0,0,0,"1,241",47,28,19
3202.02,Los Angeles,"6,248","3,746",10,64,91,5,"1,455",877,757,120
3203,Los Angeles,"6,414","3,640",28,217,59,0,"2,014",456,444,12
4002.05,Los Angeles,"2,536","1,269",219,14,762,0,53,219,120,99
4002.06,Los Angeles,"5,615","3,412",187,6,923,0,406,681,234,447
4002.07,Los Angeles,"4,625","3,558",233,15,637,0,103,79,33,46
4002.08,Los Angeles,"1,296",837,0,0,223,0,91,145,7,138
4002.09,Los Angeles,"4,398","2,892",255,50,581,0,250,370,226,144
4003.04,Los Angeles,"7,989","5,264",143,0,"1,704",68,571,239,96,143
4004.02,Los Angeles,"4,119","2,709",37,0,456,0,185,732,502,230
4004.03,Los Angeles,"4,135","2,546",94,0,387,131,333,644,470,174
4004.04,Los Angeles,"4,201","3,427",0,0,473,1,96,204,21,183
4005.01,Los Angeles,"2,049","1,664",5,0,234,43,15,88,16,72
4006.02,Los Angeles,"4,449","2,510",41,27,252,0,"1,135",484,461,23
4006.03,Los Angeles,"4,974","2,754",232,117,615,24,464,768,624,144
4006.05,Los Angeles,"7,571","3,776",288,26,"2,150",19,429,883,642,241
4008.01,Los Angeles,"6,825","4,418",161,6,"1,252",8,424,556,258,298
4010.01,Los Angeles,"2,819","2,202",6,0,401,0,74,136,18,118
4010.02,Los Angeles,"4,052","2,803",196,0,402,9,373,269,153,116
4011.01,Los Angeles,"5,374","3,247",185,12,527,0,492,911,711,200
4011.02,Los Angeles,"4,037","2,396",35,48,570,0,232,756,418,338
4012.01,Los Angeles,"3,630","1,707",43,12,460,53,367,988,601,387
4012.02,Los Angeles,"4,384","3,126",32,74,462,0,217,473,356,117
4012.03,Los Angeles,"5,014","2,901",90,15,505,0,769,734,469,265
4013.03,Los Angeles,"2,156","1,203",53,99,533,0,166,102,70,32
4013.04,Los Angeles,"5,305","3,328",141,15,960,13,119,729,364,365
4013.11,Los Angeles,"6,626","4,729",166,61,649,0,385,636,270,366
4013.12,Los Angeles,"4,981","3,364",90,1,810,0,316,400,104,296
4015,Los Angeles,"6,038","3,397",193,23,443,9,775,"1,198",741,457
4016.01,Los Angeles,"5,547","4,081",103,32,720,0,208,403,272,131
4016.02,Los Angeles,"6,143","4,205",411,38,353,0,538,598,313,285
4017.05,Los Angeles,"2,867","1,934",192,30,214,7,173,317,37,280
4017.06,Los Angeles,"4,167","1,814",353,9,660,0,722,609,456,153
4017.07,Los Angeles,"8,333","3,611",440,76,"1,083",0,"2,625",498,364,134
4018.01,Los Angeles,"4,294","3,005",96,5,765,9,139,275,75,200
4018.02,Los Angeles,"3,497","1,808",269,20,433,0,435,532,0,532
4019.01,Los Angeles,"3,661","1,993",178,14,890,16,232,338,129,209
4019.02,Los Angeles,"6,511","4,860",79,69,530,0,737,236,45,191
4020.01,Los Angeles,"3,526","1,716",435,0,586,0,492,297,35,262
4020.02,Los Angeles,"3,997","2,790",197,31,270,0,415,294,139,155
4021.01,Los Angeles,"5,206","1,512",397,98,453,0,"1,893",853,728,125
4021.02,Los Angeles,"4,952","2,244",554,0,382,0,"1,321",451,244,207
4022,Los Angeles,"6,931","3,192",611,141,722,0,"2,106",159,104,55
4023.01,Los Angeles,"5,270","2,849",80,179,397,3,"1,441",321,190,131
4023.03,Los Angeles,"3,687","1,843",36,82,209,0,"1,113",404,246,158
4023.04,Los Angeles,"4,444","1,559",78,108,189,27,"2,289",194,194,0
4024.03,Los Angeles,"5,749","2,054",229,199,650,7,"2,144",466,251,215
4024.04,Los Angeles,"2,056","1,116",173,15,484,0,69,199,48,151
4024.05,Los Angeles,"2,280","1,138",192,12,22,22,865,29,10,19
4024.06,Los Angeles,"4,924","2,081",266,131,443,0,"1,965",38,31,7
4025.01,Los Angeles,"5,048","2,169",126,13,286,0,"2,381",73,0,73
4025.03,Los Angeles,"4,167","1,600",198,0,866,0,"1,433",70,41,29
4025.04,Los Angeles,"2,739",915,207,124,364,0,"1,103",26,26,0
4026.01,Los Angeles,"3,184","1,364",10,0,252,0,"1,345",213,166,47
4026.02,Los Angeles,"4,852","2,634",138,596,404,0,422,658,554,104
4027.02,Los Angeles,"5,251","2,754",553,325,77,0,"1,481",61,54,7
4027.03,Los Angeles,"5,533","1,461",850,10,469,28,"1,419","1,296","1,269",27
4027.05,Los Angeles,"3,388","1,324",215,12,152,0,"1,412",273,130,143
4027.06,Los Angeles,"3,562","1,438",157,185,263,0,"1,183",336,227,109
4028.01,Los Angeles,"4,837","1,679",49,585,281,0,"2,142",101,0,101
4028.03,Los Angeles,"3,415","1,150",71,76,184,0,"1,388",546,414,132
4028.04,Los Angeles,"4,280",953,154,231,294,11,"2,167",470,394,76
4029.02,Los Angeles,"7,336","2,883",244,367,"1,015",0,"2,511",316,166,150
4029.03,Los Angeles,"3,912","1,723",333,10,406,0,"1,280",160,78,82
4029.04,Los Angeles,"3,644","1,323",313,99,131,0,"1,365",413,241,172
4030,Los Angeles,"7,003","2,823",442,0,456,0,"2,439",843,632,211
4033.05,Los Angeles,"2,285",402,50,0,"1,658",0,29,146,32,114
4033.16,Los Angeles,"7,183","2,851",626,0,"2,988",0,217,501,162,339
4033.17,Los Angeles,"5,272","1,851",377,22,"1,829",0,557,636,330,306
4033.18,Los Angeles,"5,938","2,542",560,0,"2,144",0,313,379,268,111
4033.19,Los Angeles,"4,355",893,203,24,"2,158",0,672,405,48,357
4033.2,Los Angeles,"5,040",962,126,0,"3,622",0,88,242,143,99
4033.21,Los Angeles,"5,715","1,718",120,0,"2,714",0,616,547,258,289
4033.23,Los Angeles,"5,540",788,222,0,"4,019",32,324,155,59,96
4033.24,Los Angeles,"7,357","1,147",322,46,"5,021",0,787,34,0,34
4033.25,Los Angeles,"5,214","1,425",167,0,"3,312",25,119,166,0,166
4033.26,Los Angeles,"2,426",559,101,39,"1,308",0,325,94,92,2
4033.27,Los Angeles,"2,304","1,124",98,12,899,0,114,57,48,9
4033.28,Los Angeles,"5,630","1,923",43,14,"2,972",0,381,297,91,206
4034.01,Los Angeles,"5,092","1,047",346,0,"3,040",0,314,345,105,240
4034.02,Los Angeles,"3,561",806,82,73,"2,013",86,391,110,51,59
4034.03,Los Angeles,"5,165",449,283,43,"3,729",9,579,73,9,64
4034.04,Los Angeles,"2,443",508,169,0,"1,610",0,77,79,8,71
4034.07,Los Angeles,"2,327",306,133,0,"1,856",0,32,0,0,0
4034.08,Los Angeles,"6,702","1,009",241,0,"4,812",15,236,389,151,238
4034.09,Los Angeles,"4,474","1,284",11,33,"2,419",0,469,258,120,138
4035,Los Angeles,"1,550",680,37,48,576,0,92,117,29,88
4036.01,Los Angeles,"7,283","2,863",227,512,"1,108",0,"2,104",469,336,133
4037.02,Los Angeles,"3,943","2,382",80,0,610,4,374,493,385,108
4037.03,Los Angeles,"4,485","2,921",229,0,563,0,510,262,177,85
4037.21,Los Angeles,"4,983","2,843",442,62,560,0,585,491,203,288
4037.22,Los Angeles,"5,144","2,848",259,60,571,9,"1,211",186,85,101
4038.01,Los Angeles,"5,948","2,625",449,320,"1,037",9,"1,015",493,260,233
4038.02,Los Angeles,"6,813","3,982",278,34,817,91,"1,094",517,267,250
4039.01,Los Angeles,"2,935","1,957",28,48,371,17,295,219,104,115
4039.02,Los Angeles,"5,274","3,448",254,61,544,0,624,343,215,128
4040,Los Angeles,"4,413","2,439",104,34,564,11,"1,225",36,24,12
4041,Los Angeles,"6,087","2,973",195,0,417,0,"2,081",421,300,121
4042.01,Los Angeles,"3,249","2,038",97,50,398,0,416,250,118,132
4042.03,Los Angeles,"4,370","2,467",215,26,468,0,884,310,177,133
4043.01,Los Angeles,"5,454","3,029",126,71,171,0,"1,804",253,239,14
4043.02,Los Angeles,"2,221","1,250",4,0,229,0,624,114,75,39
